ranking,kills,deaths,assists,goldEarned,gameDuration,teamPosition
2,5,1,2,7627,1048,0
4,4,3,7,7025,1048,1
1,12,2,3,9556,1048,2
3,4,1,6,7734,1048,3
5,2,3,6,5456,1048,4
5,1,7,1,7395,1614,0
1,6,2,6,11071,1614,1
2,7,8,3,10547,1614,2
3,2,5,4,8448,1614,3
4,1,7,7,6597,1614,4
4,7,8,5,14345,1946,0
5,8,8,4,12255,1946,1
2,10,6,9,13123,1946,2
1,10,4,11,13059,1946,3
3,5,6,12,10240,1946,4
1,15,2,6,19653,1914,0
5,9,2,6,15087,1914,1
4,4,9,9,12905,1914,2
2,4,5,2,11205,1914,3
3,1,7,10,8512,1914,4
3,6,5,9,13222,1840,0
1,7,5,14,12457,1840,1
4,9,10,7,13583,1840,2
2,11,3,12,13353,1840,3
5,3,4,16,9091,1840,4
5,4,2,2,7448,1293,0
1,9,3,3,10424,1293,1
2,10,2,5,11585,1293,2
4,7,1,5,8576,1293,3
3,1,0,13,6121,1293,4
3,5,2,9,14137,2210,0
4,9,9,16,15460,2210,1
2,17,10,4,17665,2210,2
1,15,7,12,17541,2210,3
5,3,7,11,11165,2210,4
3,9,6,13,13153,1750,0
5,8,3,3,11190,1750,1
2,13,4,7,15610,1750,2
1,18,2,6,15313,1750,3
4,4,8,9,8590,1750,4
5,1,6,10,8679,1530,0
4,4,6,6,10924,1530,1
1,16,3,3,15135,1530,2
2,8,2,9,12873,1530,3
3,3,5,8,8633,1530,4
3,6,5,7,12279,1898,0
5,4,13,7,9949,1898,1
1,17,11,4,14591,1898,2
4,6,10,3,11424,1898,3
2,14,14,11,11798,1898,4
1,10,14,5,12849,1868,0
3,12,3,6,12547,1868,1
4,6,4,7,11033,1868,2
5,8,9,10,12879,1868,3
2,2,8,15,10478,1868,4
5,6,11,19,14454,2318,0
4,17,8,11,16929,2318,1
1,26,12,15,21522,2318,2
2,15,5,21,19468,2318,3
3,3,6,34,12141,2318,4
3,3,6,13,12114,2073,0
2,10,5,19,15790,2073,1
1,19,5,9,21037,2073,2
4,3,10,12,10556,2073,3
5,4,12,8,8930,2073,4
4,12,12,8,17547,2428,0
3,9,12,11,17816,2428,1
1,19,11,7,19125,2428,2
2,3,8,7,14249,2428,3
5,6,15,7,11362,2428,4
4,5,6,8,14682,2163,0
2,8,8,16,17383,2163,1
5,3,8,8,12003,2163,2
1,23,8,6,19163,2163,3
3,3,5,27,13216,2163,4
1,7,7,5,12736,1915,0
3,4,9,23,12013,1915,1
4,4,7,7,9633,1915,2
2,11,8,9,14077,1915,3
5,1,13,13,7408,1915,4
1,11,7,11,17616,2317,0
3,6,9,11,14264,2317,1
2,12,5,9,18129,2317,2
4,4,8,12,13799,2317,3
5,2,16,13,11124,2317,4
3,4,7,6,11199,1939,0
5,3,7,5,10458,1939,1
1,9,7,5,13087,1939,2
4,6,10,4,13137,1939,3
2,10,8,7,12337,1939,4
5,2,2,0,5601,978,0
4,5,2,3,6993,978,1
2,3,2,3,6543,978,2
3,7,0,5,7859,978,3
1,3,0,10,5542,978,4
5,2,3,2,7501,1240,0
1,10,2,6,10765,1240,1
4,4,3,2,7826,1240,2
2,6,3,5,8391,1240,3
3,2,3,10,6152,1240,4
1,13,9,5,19632,2612,0
4,6,10,12,15967,2612,1
3,9,8,9,17308,2612,2
5,10,4,8,16648,2612,3
2,3,8,17,11963,2612,4
5,5,6,2,9375,1543,0
4,5,6,8,9971,1543,1
3,8,3,10,10207,1543,2
1,11,2,9,12927,1543,3
2,2,3,17,7508,1543,4
1,7,10,9,16627,2172,0
5,9,11,5,13155,2172,1
4,9,12,4,14099,2172,2
2,16,6,7,17464,2172,3
3,1,11,25,10459,2172,4
3,2,7,4,9444,1648,0
5,3,4,2,9573,1648,1
4,2,9,5,7621,1648,2
1,10,3,4,13106,1648,3
2,2,7,10,7275,1648,4
2,9,7,2,13617,1895,0
1,7,6,8,12922,1895,1
4,4,8,3,8899,1895,2
5,3,4,5,11613,1895,3
3,0,6,9,6800,1895,4
1,14,5,3,19490,1987,0
5,2,8,16,13115,1987,1
2,10,6,6,14093,1987,2
4,5,5,3,12181,1987,3
3,0,4,10,7481,1987,4
1,4,7,4,14703,2146,0
3,6,7,3,14056,2146,1
2,5,9,0,14183,2146,2
5,2,6,6,12357,2146,3
4,1,5,5,7608,2146,4
4,2,6,4,10451,1842,0
2,7,6,2,10466,1842,1
1,8,7,3,12601,1842,2
5,2,4,2,10204,1842,3
3,0,2,11,6450,1842,4
2,1,2,3,6887,1358,0
3,5,11,3,7775,1358,1
4,3,8,2,6932,1358,2
1,6,8,3,8389,1358,3
5,2,13,4,6382,1358,4
1,1,4,1,7270,1304,0
4,1,6,0,7331,1304,1
5,3,12,0,7920,1304,2
2,0,3,1,6555,1304,3
3,1,3,0,4769,1304,4
2,13,7,7,16782,2084,0
3,6,4,13,15057,2084,1
1,18,5,8,20762,2084,2
5,6,5,6,14324,2084,3
4,2,3,11,9594,2084,4
5,2,5,5,9567,1471,0
4,2,6,12,8621,1471,1
3,4,3,9,8644,1471,2
1,16,2,2,14072,1471,3
2,1,5,18,7916,1471,4
